timestamp,episode,total_steps,episode_return,episode_length,mean_return_10,mean_return_100,avg_loss,buffer_size
2025-12-20T19:27:46.202184,10,489,6.0,41,4.9,4.9,0.298234336744479,469
2025-12-20T19:29:02.877514,20,897,9.0,68,5.9,5.4,0.4748832210292661,857
2025-12-20T19:30:15.471254,30,1533,5.0,57,6.8,5.866666666666666,0.389443246329703,1473
2025-12-20T19:31:52.974472,40,2053,3.0,37,6.0,5.9,0.2347966985004704,1973
2025-12-20T19:33:40.138449,50,2670,8.0,67,7.5,6.22,0.44343179222044904,2570
2025-12-20T19:34:49.233230,60,3128,6.0,62,5.9,6.166666666666667,0.38790295182204826,3008
2025-12-20T19:36:08.855673,70,3607,1.0,18,5.7,6.1,0.1318903977308816,3467
2025-12-20T19:38:02.538398,80,3984,7.0,58,4.7,5.925,0.3789499116137745,3824
2025-12-20T19:39:54.869577,90,4503,1.0,21,5.7,5.9,0.1268647259813014,4323
2025-12-20T19:41:11.237783,100,5007,6.0,47,6.9,6.0,0.2956759057393888,4807
2025-12-20T19:42:16.691544,110,5393,8.0,46,4.8,5.99,0.279652426882488,5173
2025-12-20T19:43:45.506245,120,5972,16.0,134,6.9,6.09,0.8822395171576399,5732
2025-12-20T19:45:34.999438,130,6466,3.0,36,5.7,5.98,0.5835793711922386,5497
2025-12-20T19:46:38.836819,140,6889,5.0,34,5.8,5.96,0.5134588198228316,5900
2025-12-20T19:48:02.631638,150,7305,3.0,33,5.5,5.76,0.571648493680087,6296
2025-12-20T19:49:58.044679,160,7654,5.0,25,5.0,5.67,0.34952702522277834,6625
2025-12-20T19:51:34.543465,170,8070,15.0,100,5.9,5.69,1.5609853735991888,8174
2025-12-20T19:52:52.866765,180,8451,9.0,46,5.1,5.73,0.6725006955010551,8535
2025-12-20T19:54:33.622448,190,9013,8.0,93,6.7,5.83,1.400526659829276,9077
2025-12-20T19:57:01.081473,200,9518,13.0,86,6.5,5.79,1.2230230058942522,9562
2025-12-20T19:59:19.640504,210,9889,4.0,25,4.5,5.76,0.36682448642594473,9913
2025-12-20T20:00:17.957382,220,10226,4.0,38,4.1,5.48,0.649146284375872,10230
2025-12-20T20:01:42.305282,230,10606,0.0,15,4.8,5.39,0.16203934805733816,10590
2025-12-20T20:03:24.264828,240,10987,0.0,18,4.1,5.22,0.31970962030547007,10951
2025-12-20T20:04:58.915640,250,11508,2.0,19,5.6,5.23,0.15617378319011016,10968
2025-12-20T20:06:19.404305,260,11828,4.0,23,3.4,5.07,0.17027252795649508,11268
2025-12-20T20:07:48.112981,270,12290,0.0,33,5.5,5.03,0.2574266545912799,11710
2025-12-20T20:09:37.804217,280,12723,6.0,36,5.9,5.11,0.28553277604720173,12123
2025-12-20T20:11:00.870348,290,13187,7.0,63,6.2,5.06,0.9409292524511164,12321
2025-12-20T20:12:08.169395,300,13453,6.0,34,4.5,4.86,0.4805877685546875,12567
2025-12-20T20:13:29.676678,310,13939,5.0,62,7.3,5.14,1.008577251434326,13033
2025-12-20T20:15:23.015710,320,14269,10.0,69,4.7,5.2,1.071916983344338,13343
2025-12-20T20:17:26.870454,330,14772,1.0,24,6.3,5.35,0.3733795859596946,13826
2025-12-20T20:18:44.800324,340,15264,8.0,39,7.8,5.72,0.5763544342734597,14298
2025-12-20T20:19:47.485639,350,15631,2.0,15,4.9,5.65,0.21718010035428134,14645
2025-12-20T20:21:41.825871,360,16058,1.0,51,5.7,5.88,0.7235242800279097,15052
2025-12-20T20:23:34.484201,370,16394,13.0,61,5.4,5.87,0.5562806712256537,15556
2025-12-20T20:25:12.549700,380,16800,7.0,61,5.2,5.8,0.5380573219723171,15942
2025-12-20T20:26:14.602074,390,17271,2.0,19,6.4,5.82,0.18171590169270832,16393
2025-12-20T20:28:03.937675,400,17724,5.0,28,7.3,6.1,0.22777338027954103,16826
2025-12-20T20:29:52.618116,410,18178,16.0,99,5.9,5.96,2.1058457919529507,18110
2025-12-20T20:31:13.819505,420,18752,1.0,41,6.5,6.14,0.9353574003492083,18664
2025-12-20T20:32:35.899718,430,19272,5.0,42,7.8,6.29,0.8218545005435035,19164
2025-12-20T20:34:31.648913,440,19737,3.0,30,6.3,6.14,0.6502694487571716,19609
2025-12-20T20:36:17.724546,450,20421,3.0,49,9.0,6.55,0.6719173301349987,19238
2025-12-20T20:37:49.970704,460,20807,1.0,13,4.8,6.46,0.19234378988092596,19604
2025-12-20T20:39:03.328226,470,21184,12.0,66,5.6,6.48,0.9643201264468106,19961
2025-12-20T20:40:54.858183,480,21609,2.0,53,5.1,6.47,0.7282084768468683,20366
2025-12-20T20:42:53.633791,490,22292,10.0,88,9.4,6.77,0.6994657282735787,21345
2025-12-20T20:44:19.339048,500,22676,5.0,35,4.8,6.52,0.24482365916757023,21709
2025-12-20T20:45:38.323318,510,23147,11.0,54,6.4,6.57,0.36668571070128797,22160
2025-12-20T20:47:38.361703,520,23582,8.0,69,5.7,6.49,0.5544085479250142,22575
2025-12-20T20:51:42.406044,530,24137,10.0,42,6.8,6.39,0.289610108908485,23110
2025-12-20T20:54:49.526627,540,24781,5.0,24,9.0,6.66,0.17787686048769483,23734
2025-12-20T20:56:50.083129,550,25241,10.0,116,5.9,6.35,0.893296500047048,24174
2025-12-20T20:59:27.204736,560,25782,14.0,88,7.3,6.6,0.6194962309856041,24695
2025-12-20T21:01:46.306372,570,26201,11.0,75,5.5,6.59,0.5847000619944405,25094
2025-12-20T21:03:17.242214,580,26776,9.0,86,7.2,6.8,0.6109011874479406,25649
2025-12-20T21:04:37.910707,590,27243,10.0,52,6.6,6.52,0.42471063137054443,26096
2025-12-20T21:06:48.056064,600,27540,8.0,53,4.5,6.49,0.4483101110832364,26373
2025-12-20T21:08:44.788026,610,27953,7.0,38,5.9,6.44,0.23237730241289326,26766
2025-12-20T21:10:27.455817,620,28422,2.0,30,6.6,6.53,0.2248514306311514,27215
2025-12-20T21:11:46.760815,630,28871,1.0,19,5.8,6.43,0.13567262654211007,27644
2025-12-20T21:13:45.513092,640,29351,6.0,43,6.3,6.16,0.3265782851798862,28104
2025-12-20T21:15:54.287974,650,29845,1.0,20,7.4,6.31,0.14341608215780818,28578
2025-12-20T21:17:04.154226,660,30242,5.0,28,6.4,6.22,0.2411787182677026,28955
2025-12-20T21:18:34.787763,670,30660,1.0,32,5.9,6.26,0.24378240342233695,29353
2025-12-20T21:20:33.853757,680,31143,4.0,33,6.4,6.18,0.24129798833061666,29816
2025-12-20T21:22:37.233466,690,31733,12.0,70,7.7,6.29,0.5273683503562329,30386
2025-12-20T21:24:22.117771,700,32144,3.0,43,5.3,6.37,0.3307417116913141,30777
2025-12-20T21:25:36.779036,710,32467,21.0,148,4.4,6.22,1.13795790719051,31080
2025-12-20T21:27:55.045326,720,32889,13.0,123,4.8,6.04,0.8390793823728374,31482
2025-12-20T21:30:00.099151,730,33397,8.0,42,6.5,6.11,0.32589272658030194,31970
2025-12-20T21:31:30.271345,740,33932,3.0,33,7.5,6.23,0.21079234165303848,32485
2025-12-20T21:32:55.098293,750,34407,0.0,21,5.9,6.08,0.16308972181058398,32940
2025-12-20T21:35:17.197289,760,34769,2.0,14,5.5,5.99,0.13434842053581686,33282
2025-12-20T21:37:13.972302,770,35187,4.0,55,5.3,5.93,0.5666844318439435,33490
2025-12-20T21:38:23.751604,780,35654,10.0,37,7.4,6.03,0.4260050631188727,33937
2025-12-20T21:39:50.475033,790,36142,21.0,129,6.8,5.94,1.3671689048990028,34405
2025-12-20T21:42:21.258426,800,36727,7.0,65,7.7,6.18,0.6964815916953149,34970
2025-12-20T21:44:00.610321,810,37080,10.0,72,4.9,6.23,0.7565466459695395,35303
2025-12-20T21:45:22.956952,820,37463,3.0,23,5.3,6.28,0.2214532842883816,35666
2025-12-20T21:46:39.836646,830,37973,12.0,63,7.9,6.42,0.6703535442228441,36156
2025-12-20T21:48:49.203548,840,38399,2.0,45,4.0,6.07,0.481278809634122,36562
2025-12-20T22:00:12.033922,850,38819,9.0,38,6.0,6.08,0.3866679049157477,36962
2025-12-20T22:01:29.915621,860,39267,9.0,52,6.1,6.14,0.4764488641317789,37390
2025-12-20T22:03:13.500207,870,39633,3.0,26,4.4,6.05,0.2462208673551485,37736
2025-12-20T22:05:55.401661,880,40132,4.0,26,7.3,6.04,0.230376571803898,38215
2025-12-20T22:08:10.394940,890,40718,10.0,72,8.1,6.17,0.7215868900348614,38781
2025-12-20T22:09:37.784789,900,40985,2.0,13,4.1,5.81,0.1453326801200966,39028
2025-12-20T22:11:14.286978,910,41268,3.0,28,4.6,5.78,0.260750894422655,39291
2025-12-20T22:13:30.538083,920,41749,12.0,88,7.6,6.01,0.7700806902600573,39752
2025-12-20T22:15:29.257752,930,42129,4.0,23,4.9,5.71,0.24537791524614608,40112
2025-12-20T22:16:57.776148,940,42743,6.0,48,8.5,6.16,0.4335574763161795,40706
2025-12-20T22:17:58.878103,950,43146,6.0,35,6.7,6.23,0.28095770114428037,41089
2025-12-20T22:19:37.111334,960,43569,20.0,135,6.0,6.22,1.1221602195269103,41492
2025-12-20T22:21:06.834182,970,43889,2.0,24,3.8,6.16,0.23327098109505393,42705
2025-12-20T22:22:30.023816,980,44317,17.0,96,6.0,6.03,0.9196891598887258,43113
2025-12-20T22:23:53.446875,990,44691,4.0,49,4.9,5.71,0.4737760401391364,43467
2025-12-20T22:25:32.256567,1000,45120,11.0,41,7.0,6.0,0.3595247237713306,43876
2025-12-20T22:27:15.679944,1010,45554,4.0,45,6.6,6.2,0.398921782320196,44290
2025-12-20T22:28:47.953356,1020,45820,5.0,26,4.3,5.87,0.2740931696706004,44536
2025-12-20T22:30:04.717088,1030,46143,11.0,56,5.1,5.89,0.458577578718012,44839
2025-12-20T22:31:44.976500,1040,46616,6.0,28,6.7,5.71,0.29157508503306995,45292
2025-12-20T22:33:04.273353,1050,47211,9.0,48,9.0,5.94,0.47185454430518214,45867
2025-12-20T22:34:38.339831,1060,47507,11.0,65,3.9,5.73,0.6349321232213603,46143
2025-12-20T22:35:51.851664,1070,48185,9.0,78,9.2,6.27,0.6615288335007506,46801
2025-12-20T22:37:40.571084,1080,48523,2.0,15,4.4,6.11,0.16107475912416136,47119
2025-12-20T22:39:53.790404,1090,49013,2.0,19,6.9,6.31,0.09840757724566337,46529
2025-12-20T22:42:06.610488,1100,49328,4.0,23,4.9,6.1,0.12283386430169782,46824
2025-12-20T22:43:35.880949,1110,49564,5.0,28,4.2,5.86,0.14844629805312198,47040
2025-12-20T22:44:59.891146,1120,49976,9.0,41,6.9,6.12,0.23029297437423316,47432
2025-12-20T22:46:25.754795,1130,50334,10.0,40,7.2,6.33,0.3343927953150365,48031
2025-12-20T22:47:34.494360,1140,50857,6.0,37,8.3,6.49,0.31603332308979776,48534
2025-12-20T22:48:46.423206,1150,51307,4.0,29,6.4,6.23,0.2848396053561917,48964
2025-12-20T22:50:46.845825,1160,51677,7.0,34,6.2,6.46,0.2389962642223804,49314
2025-12-20T22:52:27.489526,1170,52160,4.0,49,7.7,6.31,0.3578480992998396,50009
2025-12-20T22:53:34.922858,1180,52615,12.0,64,7.4,6.61,0.45605213920791426,50444
2025-12-20T22:54:42.045163,1190,53106,4.0,19,7.7,6.69,0.15159026988140947,50915
2025-12-20T22:56:43.843266,1200,53751,17.0,78,11.0,7.3,0.6362099043734661,51540
2025-12-20T22:58:42.092141,1210,54286,1.0,20,7.4,7.62,0.096377666090049,52117
2025-12-20T22:59:57.634322,1220,54784,17.0,74,7.9,7.72,0.4092744320046668,52595
2025-12-20T23:01:21.443002,1230,55190,2.0,13,6.4,7.64,0.08452585631725835,52981
2025-12-20T23:03:20.438773,1240,55582,3.0,26,6.0,7.41,0.15279532413856656,53353
2025-12-20T23:04:58.771302,1250,55974,4.0,28,6.5,7.42,0.14954049096387975,53725
2025-12-20T23:07:17.883426,1260,56607,9.0,97,9.1,7.71,0.5190818414968603,54338
2025-12-20T23:08:58.738178,1270,57125,15.0,53,8.8,7.82,0.34187568402757834,54836
2025-12-20T23:11:42.017361,1280,57494,9.0,35,6.8,7.76,0.19573274897594078,55185
2025-12-20T23:14:01.725391,1290,58093,22.0,105,10.0,7.99,0.5290128980197158,55764
2025-12-20T23:15:36.461230,1300,58844,9.0,94,10.2,7.91,0.4691973270154467,56495
2025-12-20T23:17:04.489936,1310,59447,15.0,55,9.5,8.12,0.26698700645390677,57078
2025-12-20T23:19:58.236600,1320,59857,3.0,20,6.2,7.95,0.10002052316478655,57468
2025-12-20T23:22:28.531937,1330,60596,2.0,23,10.1,8.32,0.08659842084435855,58187
2025-12-20T23:24:00.800195,1340,61155,4.0,18,9.6,8.68,0.1037182328747768,58726
2025-12-20T23:26:10.142059,1350,61644,2.0,20,6.8,8.71,0.08543905323626948,59195
2025-12-20T23:28:44.821120,1360,62151,15.0,66,8.2,8.62,0.36723801668952494,59682
2025-12-20T23:31:16.448576,1370,62638,1.0,7,8.2,8.56,0.026644986049801696,60149
2025-12-20T23:32:37.850499,1380,63038,18.0,100,7.0,8.58,0.4485259032716938,60529
2025-12-20T23:34:38.277348,1390,63493,3.0,37,7.1,8.29,0.19132062033110975,60964
2025-12-20T23:37:29.137996,1400,63904,10.0,51,6.8,7.95,0.22114245798073562,61355
2025-12-20T23:39:01.953365,1410,64510,2.0,37,9.0,7.9,0.1916923768380109,61941
2025-12-20T23:41:19.763271,1420,65058,1.0,24,8.6,8.14,0.11181836794404422,62469
2025-12-20T23:42:55.124227,1430,65628,10.0,32,9.0,8.03,0.13244140031290988,63019
2025-12-20T23:46:28.394451,1440,66291,3.0,19,10.5,8.12,0.07831689423205805,63662
2025-12-20T23:48:35.020509,1450,66777,1.0,24,7.8,8.22,0.11178721399868236,64128
2025-12-20T23:50:17.526135,1460,67313,19.0,96,9.9,8.39,0.4122696922105901,64644
2025-12-20T23:52:27.036350,1470,67821,12.0,54,8.0,8.37,0.2397119496382919,65132
2025-12-20T23:55:03.942318,1480,68481,3.0,73,9.4,8.61,0.2949863590446173,65772
2025-12-20T23:57:18.869207,1490,69073,2.0,34,7.6,8.66,0.15309767629586013,66344
2025-12-20T23:58:45.235467,1500,69526,1.0,28,7.9,8.77,0.12759273659949208,66777
2025-12-21T00:00:18.544421,1510,70235,24.0,97,12.1,9.08,0.40222516714357864,67466
2025-12-21T00:03:04.397264,1520,70792,6.0,41,7.7,8.99,0.17488986954969518,68003
2025-12-21T00:05:03.201373,1530,71303,10.0,43,7.4,8.83,0.17104101531645832,68494
2025-12-21T00:06:31.307053,1540,71707,4.0,23,6.0,8.38,0.08393692561224395,68878
2025-12-21T00:07:51.294505,1550,72151,4.0,40,7.4,8.34,0.14805508711758783,69302
2025-12-21T00:10:31.104715,1560,72864,14.0,66,10.1,8.36,0.2613093934807123,69995
2025-12-21T00:13:05.743576,1570,73440,10.0,80,8.5,8.41,0.4561139004571097,71910
2025-12-21T00:14:33.400275,1580,74088,25.0,110,11.1,8.58,0.5496222426493963,72538
2025-12-21T00:16:26.016385,1590,74656,3.0,39,8.0,8.62,0.18235187445368087,73086
2025-12-21T00:18:24.625725,1600,75202,0.0,39,9.1,8.74,0.14900328928516024,73612
2025-12-21T00:20:47.739170,1610,75775,10.0,45,7.9,8.32,0.23197218917665027,74165
2025-12-21T00:22:17.062979,1620,76257,11.0,74,7.1,8.26,0.3730268868662062,74627
2025-12-21T00:23:34.193256,1630,76795,7.0,31,8.7,8.39,0.15542005783035642,75145
2025-12-21T00:25:37.548272,1640,77386,10.0,87,8.7,8.66,0.41082373403367545,75716
2025-12-21T00:27:56.275810,1650,77982,12.0,80,9.5,8.87,0.3865875942366464,76327
2025-12-21T00:30:11.878302,1660,78493,3.0,30,8.2,8.68,0.13184672310238793,76818
2025-12-21T00:31:24.472274,1670,78888,8.0,38,6.6,8.49,0.17480732784384773,77193
2025-12-21T00:34:18.342409,1680,79533,5.0,39,9.9,8.37,0.19021516399724142,77818
2025-12-21T00:36:37.334676,1690,80059,16.0,73,9.0,8.47,0.33438430584612344,77942
2025-12-21T00:37:55.234996,1700,80616,14.0,98,8.7,8.43,0.4770938597974323,78479
2025-12-21T00:39:17.819404,1710,81135,0.0,15,7.4,8.38,0.08522310569172814,78978
2025-12-21T00:42:02.735253,1720,81606,13.0,54,8.1,8.48,0.26436592638492584,79429
2025-12-21T00:44:33.751634,1730,82147,1.0,19,7.6,8.37,0.08153936976478213,79950
2025-12-21T00:45:59.458994,1740,82624,22.0,87,8.3,8.33,0.4132336729339191,80407
2025-12-21T00:47:39.337836,1750,83282,3.0,18,9.3,8.31,0.08462405204772949,81045
2025-12-21T00:50:39.282933,1760,83692,2.0,20,7.3,8.22,0.06684116593429021,81435
2025-12-21T00:53:18.329745,1770,84298,5.0,31,9.4,8.5,0.16599900310947782,82021
2025-12-21T00:54:43.909354,1780,84714,6.0,33,8.0,8.31,0.18810388445854187,82417
2025-12-21T00:56:02.512832,1790,85256,8.0,44,8.7,8.28,0.20802029541560582,82939
2025-12-21T00:58:30.872627,1800,85771,4.0,36,7.3,8.14,0.15616474619933537,83434
2025-12-21T01:01:30.319781,1810,86287,15.0,96,8.1,8.21,0.4668310958714712,83930
2025-12-21T01:02:42.845135,1820,86734,0.0,16,7.3,8.13,0.09327898422876994,84357
2025-12-21T01:04:21.321677,1830,87512,31.0,195,12.6,8.63,1.0043016026417415,85115
2025-12-21T01:06:55.641123,1840,88080,14.0,75,7.9,8.59,0.3765921684957686,85663
2025-12-21T01:09:12.873899,1850,88749,5.0,78,9.8,8.64,0.328101947194054,86312
2025-12-21T01:10:40.034909,1860,89406,12.0,114,9.5,8.86,0.4935750968399502,86949
2025-12-21T01:12:24.521089,1870,90100,17.0,89,10.8,9.0,0.47542527672790347,87623
2025-12-21T01:15:11.111820,1880,90672,3.0,69,7.9,8.99,0.3089458516665867,88175
2025-12-21T01:18:08.090802,1890,91291,22.0,103,10.4,9.16,0.47346238472632,89198
2025-12-21T01:19:28.389460,1900,91832,12.0,88,7.8,9.21,0.40052077103228795,89719
2025-12-21T01:21:18.820506,1910,92397,3.0,39,7.9,9.19,0.178301948876608,90264
2025-12-21T01:24:10.004884,1920,93113,2.0,41,12.1,9.67,0.18758520554928554,90960
2025-12-21T01:26:30.779164,1930,93900,9.0,81,10.3,9.44,0.38045045023872737,91727
2025-12-21T01:28:33.335778,1940,94500,1.0,18,9.8,9.63,0.0628537784020106,92307
2025-12-21T01:30:16.387279,1950,95105,14.0,48,11.0,9.75,0.19709300143378122,92892
2025-12-21T01:32:59.048747,1960,95790,11.0,63,10.7,9.87,0.3177455837527911,93557
2025-12-21T01:35:19.489581,1970,96206,2.0,14,6.5,9.44,0.060145496612503416,93953
2025-12-21T01:36:54.091285,1980,96833,3.0,37,9.4,9.59,0.12704853926386153,94560
2025-12-21T01:38:27.669209,1990,97396,13.0,68,8.7,9.42,0.31449509660402936,95103
2025-12-21T01:40:47.776327,2000,97895,0.0,24,8.3,9.47,0.07985433297497886,95582
2025-12-21T01:43:37.440579,2010,98518,9.0,80,9.6,9.64,0.35223127333890825,96185
